County,Crime,Education,Housing,Score
Amador County,1,2,1,2
Del Norte County,1,1,2,2
Calaveras County,1,1,1,2
San Bernardino County,1,1,3,3
Orange County,4,1,1,4
Merced County,1,1,4,4
Butte County,1,3,1,4
Trinity County,5,1,1,5
San Luis Obispo County,1,5,1,5
Tulare County,1,1,5,5
Colusa County,6,1,1,6
Imperial County,1,1,6,6
San Mateo County,3,4,1,7
Kings County,1,1,7,7
Ventura County,8,1,1,8
Nevada County,1,8,1,8
Sutter County,1,1,8,8
Kern County,1,1,9,9
Modoc County,1,1,10,10
El Dorado County,2,10,1,12
Tuolumne County,7,6,1,13
Placer County,10,7,1,17
Marin County,9,9,0,18
